                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                  1.711,                 1.3033,                 1.1296,                0.68159,                0.53282,                0.53019,                0.21296,                 2.0483,                 1.4396,                 1.3936,               0.001274,               0.001274,               0.001274
                    112,                 1.7146,                 1.3148,                 1.1259,                0.69012,                0.54054,                0.54294,                 0.2082,                 2.0766,                 1.4907,                 1.4115,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.7454,                 1.3368,                 1.1461,                0.69329,                0.57915,                0.54843,                0.21238,                 2.0545,                 1.4235,                 1.3908,              0.0012608,              0.0012608,              0.0012608
                    114,                 1.7043,                 1.2968,                 1.1401,                0.71265,                0.58108,                0.57728,                0.23654,                 2.0277,                 1.3409,                 1.3715,              0.0012542,              0.0012542,              0.0012542
                    115,                  1.745,                 1.3447,                 1.1355,                0.64767,                0.53475,                0.51272,                0.19571,                 2.0913,                 1.5086,                 1.4168,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.7331,                 1.3684,                 1.1468,                0.67045,                0.52703,                0.52195,                0.20896,                 2.0383,                 1.4864,                 1.3659,               0.001241,               0.001241,               0.001241
                    117,                 1.7238,                 1.3249,                 1.1405,                0.66237,                0.57722,                0.55369,                0.22424,                 2.0358,                 1.4065,                  1.369,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.7228,                  1.333,                 1.1376,                0.64354,                0.58205,                 0.5239,                0.20277,                 2.1275,                 1.4075,                  1.444,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.6988,                 1.2887,                 1.1352,                0.72616,                0.58358,                0.56296,                0.21576,                 2.0793,                 1.3999,                 1.4078,              0.0012212,              0.0012212,              0.0012212
                    120,                 1.7098,                 1.3019,                 1.1357,                0.65026,                0.55212,                0.52328,                0.19018,                 2.1596,                 1.4796,                 1.4453,              0.0012146,              0.0012146,              0.0012146
